"symbol","type","database"
"CRYM","hormones_&_receptors","Online resource"
"CSF1","growth_factors_&_receptors","Online resource"
"CSF1","cytokin/chemokine_&_receptors","Online resource"
"CSF1","growth_factors_&_receptors","GOMF"
"CSF1","cytokin/chemokine_&_receptors","KEGG"
"CSF1","secreted protein","NABA"
"CSF1","cytokin/chemokine_&_receptors","GSEA"
"CSF1R","cytokin/chemokine_&_receptors","Online resource"
"CSF1R","growth_factors_&_receptors","GOMF"
"CSF1R","cytokin/chemokine_&_receptors","KEGG"
"CSF2","cytokin/chemokine_&_receptors","Online resource"
"CSF2","growth_factors_&_receptors","Online resource"
"CSF2","predicted secreted protein","HPA"
"CSF2","growth_factors_&_receptors","GOMF"
"CSF2","cytokin/chemokine_&_receptors","KEGG"
"CSF2","secreted protein","NABA"
"CSF2","cytokin/chemokine_&_receptors","GSEA"
"CSF2RA","cytokin/chemokine_&_receptors","Online resource"
"CSF2RA","predicted secreted protein","VerSeDa"
"CSF2RA","cytokin/chemokine_&_receptors","KEGG"
"CSF2RB","cytokin/chemokine_&_receptors","Online resource"
"CSF2RB","cytokin/chemokine_&_receptors","KEGG"
"CSF3","growth_factors_&_receptors","Online resource"
"CSF3","cytokin/chemokine_&_receptors","Online resource"
"CSF3","predicted secreted protein","HPA"
"CSF3","growth_factors_&_receptors","GOMF"
"CSF3","cytokin/chemokine_&_receptors","KEGG"
"CSF3","secreted protein","NABA"
"CSF3","cytokin/chemokine_&_receptors","GSEA"
"CSF3R","cytokin/chemokine_&_receptors","Online resource"
"CSF3R","cytokin/chemokine_&_receptors","KEGG"
"CSH1","growth_factors_&_receptors","Online resource"
"CSH1","cytokin/chemokine_&_receptors","Online resource"
"CSH1","hormones_&_receptors","Online resource"
"CSH1","predicted secreted protein","HPA"
"CSH1","predicted secreted protein","VerSeDa"
"CSH1","growth_factors_&_receptors","GOMF"
"CSH1","hormones_&_receptors","GOMF"
"CSH1","secreted protein","NABA"
"CSH1","hormones_&_receptors","REACTOME"
"CSH1","cytokin/chemokine_&_receptors","GSEA"
"CSH2","growth_factors_&_receptors","Online resource"
"CSH2","cytokin/chemokine_&_receptors","Online resource"
"CSH2","hormones_&_receptors","Online resource"
"CSH2","predicted secreted protein","HPA"
"CSH2","predicted secreted protein","VerSeDa"
"CSH2","growth_factors_&_receptors","GOMF"
"CSH2","hormones_&_receptors","GOMF"
"CSH2","secreted protein","NABA"
"CSH2","cytokin/chemokine_&_receptors","GSEA"
"CSHL1","growth_factors_&_receptors","Online resource"
"CSHL1","hormones_&_receptors","Online resource"
"CSHL1","predicted secreted protein","HPA"
"CSHL1","predicted secreted protein","VerSeDa"
"CSHL1","growth_factors_&_receptors","GOMF"
"CSHL1","hormones_&_receptors","GOMF"
"CSHL1","secreted protein","NABA"
"CSHL1","cytokin/chemokine_&_receptors","GSEA"
"CSK","cytokin/chemokine_&_receptors","WP"
"CSN1S1","predicted secreted protein","HPA"
"CSN2","predicted secreted protein","HPA"
"CSN3","predicted secreted protein","HPA"
"CSPG5","growth_factors_&_receptors","Online resource"
"CSPG5","growth_factors_&_receptors","GOMF"
"CSPG5","cytokin/chemokine_&_receptors","GSEA"
"CST1","predicted secreted protein","HPA"
"CST1","predicted secreted protein","VerSeDa"
"CST11","predicted secreted protein","HPA"
"CST2","predicted secreted protein","HPA"
"CST2","predicted secreted protein","VerSeDa"
"CST3","predicted secreted protein","HPA"
"CST3","predicted secreted protein","VerSeDa"
"CST4","predicted secreted protein","HPA"
"CST4","predicted secreted protein","VerSeDa"
"CST5","predicted secreted protein","HPA"
"CST5","predicted secreted protein","VerSeDa"
"CST6","predicted secreted protein","HPA"
"CST6","predicted secreted protein","VerSeDa"
"CST7","predicted secreted protein","HPA"
"CST8","predicted secreted protein","HPA"
"CST9","predicted secreted protein","HPA"
"CST9","predicted secreted protein","VerSeDa"
"CST9L","predicted secreted protein","HPA"
"CSTL1","predicted secreted protein","HPA"
"CSTL1","predicted secreted protein","VerSeDa"
"CT55","predicted secreted protein","HPA"
"CTF1","cytokin/chemokine_&_receptors","Online resource"
"CTF1","predicted secreted protein","HPA"
"CTF1","cytokin/chemokine_&_receptors","KEGG"
"CTF1","secreted protein","NABA"
"CTF1","cytokin/chemokine_&_receptors","GSEA"
"CTHRC1","predicted secreted protein","HPA"
"CTHRC1","predicted secreted protein","VerSeDa"
"CTRB1","predicted secreted protein","HPA"
"CTRB2","predicted secreted protein","HPA"
"CTRB2","predicted secreted protein","VerSeDa"
"CTRC","predicted secreted protein","HPA"
"CTRL","predicted secreted protein","HPA"
"CTSB","predicted secreted protein","HPA"
"CTSB","predicted secreted protein","VerSeDa"
"CTSD","predicted secreted protein","HPA"
"CTSG","cytokin/chemokine_&_receptors","GSEA"
"CTSH","hormones_&_receptors","Online resource"
"CUTA","predicted secreted protein","HPA"
"CX3CL1","cytokin/chemokine_&_receptors","Online resource"
"CX3CL1","cytokin/chemokine_&_receptors","KEGG"
"CX3CL1","secreted protein","NABA"
"CX3CL1","cytokin/chemokine_&_receptors","REACTOME"
"CX3CL1","cytokin/chemokine_&_receptors","WP"
"CX3CL1","cytokin/chemokine_&_receptors","GSEA"
"CX3CR1","cytokin/chemokine_&_receptors","Online resource"
"CX3CR1","cytokin/chemokine_&_receptors","KEGG"
"CX3CR1","cytokin/chemokine_&_receptors","REACTOME"
"CX3CR1","cytokin/chemokine_&_receptors","WP"
"CXCL1","growth_factors_&_receptors","Online resource"
"CXCL1","cytokin/chemokine_&_receptors","Online resource"
"CXCL1","predicted secreted protein","HPA"
"CXCL1","growth_factors_&_receptors","GOMF"
"CXCL1","cytokin/chemokine_&_receptors","KEGG"
"CXCL1","secreted protein","NABA"
"CXCL1","cytokin/chemokine_&_receptors","REACTOME"
"CXCL1","cytokin/chemokine_&_receptors","GSEA"
"CXCL10","cytokin/chemokine_&_receptors","Online resource"
"CXCL10","predicted secreted protein","HPA"
"CXCL10","predicted secreted protein","VerSeDa"
"CXCL10","cytokin/chemokine_&_receptors","KEGG"
"CXCL10","secreted protein","NABA"
"CXCL10","cytokin/chemokine_&_receptors","REACTOME"
"CXCL10","cytokin/chemokine_&_receptors","WP"
"CXCL10","cytokin/chemokine_&_receptors","GSEA"
"CXCL11","cytokin/chemokine_&_receptors","Online resource"
"CXCL11","predicted secreted protein","HPA"
"CXCL11","cytokin/chemokine_&_receptors","KEGG"
"CXCL11","secreted protein","NABA"
"CXCL11","cytokin/chemokine_&_receptors","REACTOME"
"CXCL11","cytokin/chemokine_&_receptors","WP"
"CXCL11","cytokin/chemokine_&_receptors","GSEA"
"CXCL12","cytokin/chemokine_&_receptors","Online resource"
"CXCL12","growth_factors_&_receptors","Online resource"
"CXCL12","predicted secreted protein","HPA"
"CXCL12","predicted secreted protein","VerSeDa"
"CXCL12","growth_factors_&_receptors","GOMF"
"CXCL12","cytokin/chemokine_&_receptors","KEGG"
"CXCL12","secreted protein","NABA"
"CXCL12","cytokin/chemokine_&_receptors","REACTOME"
"CXCL12","cytokin/chemokine_&_receptors","WP"
"CXCL12","cytokin/chemokine_&_receptors","GSEA"
"CXCL13","cytokin/chemokine_&_receptors","Online resource"
"CXCL13","growth_factors_&_receptors","Online resource"
"CXCL13","predicted secreted protein","HPA"
"CXCL13","growth_factors_&_receptors","GOMF"
"CXCL13","cytokin/chemokine_&_receptors","KEGG"
"CXCL13","secreted protein","NABA"
"CXCL13","cytokin/chemokine_&_receptors","REACTOME"
"CXCL13","cytokin/chemokine_&_receptors","WP"
"CXCL13","cytokin/chemokine_&_receptors","GSEA"
"CXCL14","cytokin/chemokine_&_receptors","Online resource"
"CXCL14","predicted secreted protein","HPA"
"CXCL14","predicted secreted protein","VerSeDa"
"CXCL14","cytokin/chemokine_&_receptors","KEGG"
"CXCL14","secreted protein","NABA"
"CXCL14","cytokin/chemokine_&_receptors","WP"
"CXCL14","cytokin/chemokine_&_receptors","GSEA"
"CXCL16","cytokin/chemokine_&_receptors","Online resource"
"CXCL16","cytokin/chemokine_&_receptors","KEGG"
"CXCL16","cytokin/chemokine_&_receptors","REACTOME"
"CXCL16","cytokin/chemokine_&_receptors","WP"
"CXCL16","cytokin/chemokine_&_receptors","GSEA"
"CXCL17","cytokin/chemokine_&_receptors","Online resource"
"CXCL17","predicted secreted protein","HPA"
"CXCL17","predicted secreted protein","VerSeDa"
"CXCL17","cytokin/chemokine_&_receptors","GSEA"
"CXCL2","cytokin/chemokine_&_receptors","Online resource"
"CXCL2","predicted secreted protein","HPA"
"CXCL2","cytokin/chemokine_&_receptors","KEGG"
"CXCL2","secreted protein","NABA"
"CXCL2","cytokin/chemokine_&_receptors","REACTOME"
"CXCL2","cytokin/chemokine_&_receptors","GSEA"
"CXCL3","cytokin/chemokine_&_receptors","Online resource"
"CXCL3","predicted secreted protein","HPA"
"CXCL3","cytokin/chemokine_&_receptors","KEGG"
"CXCL3","secreted protein","NABA"
"CXCL3","cytokin/chemokine_&_receptors","REACTOME"
"CXCL3","cytokin/chemokine_&_receptors","WP"
"CXCL3","cytokin/chemokine_&_receptors","GSEA"
"CXCL5","cytokin/chemokine_&_receptors","Online resource"
"CXCL5","predicted secreted protein","HPA"
"CXCL5","cytokin/chemokine_&_receptors","KEGG"
"CXCL5","secreted protein","NABA"
"CXCL5","cytokin/chemokine_&_receptors","REACTOME"
"CXCL5","cytokin/chemokine_&_receptors","WP"
"CXCL5","cytokin/chemokine_&_receptors","GSEA"
"CXCL6","cytokin/chemokine_&_receptors","Online resource"
"CXCL6","predicted secreted protein","HPA"
"CXCL6","cytokin/chemokine_&_receptors","KEGG"
"CXCL6","secreted protein","NABA"
"CXCL6","cytokin/chemokine_&_receptors","REACTOME"
"CXCL6","cytokin/chemokine_&_receptors","GSEA"
"CXCL8","cytokin/chemokine_&_receptors","Online resource"
"CXCL8","predicted secreted protein","HPA"
"CXCL8","cytokin/chemokine_&_receptors","KEGG"
"CXCL8","secreted protein","NABA"
"CXCL8","cytokin/chemokine_&_receptors","REACTOME"
"CXCL8","cytokin/chemokine_&_receptors","GSEA"
"CXCL9","cytokin/chemokine_&_receptors","Online resource"
"CXCL9","predicted secreted protein","HPA"
"CXCL9","cytokin/chemokine_&_receptors","KEGG"
"CXCL9","secreted protein","NABA"
"CXCL9","cytokin/chemokine_&_receptors","REACTOME"
"CXCL9","cytokin/chemokine_&_receptors","WP"
"CXCL9","cytokin/chemokine_&_receptors","GSEA"
"CXCR1","cytokin/chemokine_&_receptors","Online resource"
"CXCR1","cytokin/chemokine_&_receptors","KEGG"
"CXCR1","cytokin/chemokine_&_receptors","REACTOME"
"CXCR2","cytokin/chemokine_&_receptors","Online resource"
"CXCR2","cytokin/chemokine_&_receptors","KEGG"
"CXCR2","cytokin/chemokine_&_receptors","REACTOME"
"CXCR2","cytokin/chemokine_&_receptors","WP"
"CXCR3","cytokin/chemokine_&_receptors","Online resource"
"CXCR3","cytokin/chemokine_&_receptors","KEGG"
"CXCR3","cytokin/chemokine_&_receptors","REACTOME"
"CXCR3","cytokin/chemokine_&_receptors","WP"
"CXCR4","cytokin/chemokine_&_receptors","Online resource"
"CXCR4","cytokin/chemokine_&_receptors","KEGG"
"CXCR4","cytokin/chemokine_&_receptors","REACTOME"
"CXCR4","cytokin/chemokine_&_receptors","WP"
"CXCR5","cytokin/chemokine_&_receptors","Online resource"
"CXCR5","cytokin/chemokine_&_receptors","KEGG"
"CXCR5","cytokin/chemokine_&_receptors","REACTOME"
"CXCR5","cytokin/chemokine_&_receptors","WP"
"CXCR6","cytokin/chemokine_&_receptors","Online resource"
"CXCR6","cytokin/chemokine_&_receptors","KEGG"
"CXCR6","cytokin/chemokine_&_receptors","REACTOME"
"CXCR6","cytokin/chemokine_&_receptors","WP"
"CYB5D2","predicted secreted protein","HPA"
"CYB5D2","predicted secreted protein","VerSeDa"
"CYTL1","predicted secreted protein","HPA"
"CYTL1","predicted secreted protein","VerSeDa"
"DAB2IP","growth_factors_&_receptors","Online resource"
"DAB2IP","growth_factors_&_receptors","GOMF"
"DAND5","predicted secreted protein","HPA"
"DCD","predicted secreted protein","HPA"
"DCD","predicted secreted protein","VerSeDa"
"DCN","predicted secreted protein","HPA"
"DCN","predicted secreted protein","VerSeDa"
"DDR1","predicted secreted protein","VerSeDa"
"DEFA1","predicted secreted protein","HPA"
"DEFA1","predicted secreted protein","VerSeDa"
"DEFA1","cytokin/chemokine_&_receptors","GSEA"
"DEFA1B","predicted secreted protein","HPA"
"DEFA1B","predicted secreted protein","VerSeDa"
"DEFA3","predicted secreted protein","HPA"
"DEFA3","predicted secreted protein","VerSeDa"
"DEFA3","cytokin/chemokine_&_receptors","GSEA"
"DEFA4","predicted secreted protein","HPA"
"DEFA4","predicted secreted protein","VerSeDa"
"DEFA5","predicted secreted protein","HPA"
"DEFA5","predicted secreted protein","VerSeDa"
"DEFA5","cytokin/chemokine_&_receptors","GSEA"
"DEFA6","predicted secreted protein","HPA"
"DEFA6","predicted secreted protein","VerSeDa"
"DEFB1","predicted secreted protein","HPA"
"DEFB1","predicted secreted protein","VerSeDa"
"DEFB1","cytokin/chemokine_&_receptors","GSEA"
"DEFB103A","predicted secreted protein","HPA"
"DEFB103B","predicted secreted protein","HPA"
"DEFB103B","cytokin/chemokine_&_receptors","GSEA"
"DEFB104A","predicted secreted protein","HPA"
"DEFB104A","predicted secreted protein","VerSeDa"
"DEFB104A","cytokin/chemokine_&_receptors","GSEA"
"DEFB104B","predicted secreted protein","HPA"
"DEFB104B","predicted secreted protein","VerSeDa"
"DEFB105A","predicted secreted protein","HPA"
"DEFB105A","predicted secreted protein","VerSeDa"
"DEFB105B","predicted secreted protein","HPA"
"DEFB105B","predicted secreted protein","VerSeDa"
"DEFB106A","predicted secreted protein","HPA"
"DEFB106A","predicted secreted protein","VerSeDa"
"DEFB106B","predicted secreted protein","HPA"
"DEFB106B","predicted secreted protein","VerSeDa"
"DEFB107A","predicted secreted protein","HPA"
"DEFB107B","predicted secreted protein","HPA"
"DEFB108B","predicted secreted protein","HPA"
"DEFB110","predicted secreted protein","HPA"
"DEFB110","predicted secreted protein","VerSeDa"
"DEFB113","predicted secreted protein","HPA"
"DEFB114","predicted secreted protein","HPA"
"DEFB115","predicted secreted protein","HPA"
"DEFB116","predicted secreted protein","HPA"
"DEFB118","predicted secreted protein","HPA"
"DEFB119","predicted secreted protein","HPA"
"DEFB119","predicted secreted protein","VerSeDa"
"DEFB121","predicted secreted protein","HPA"
"DEFB123","predicted secreted protein","HPA"
"DEFB124","predicted secreted protein","HPA"
"DEFB125","predicted secreted protein","HPA"
"DEFB125","predicted secreted protein","VerSeDa"
"DEFB126","predicted secreted protein","HPA"
"DEFB127","predicted secreted protein","HPA"
"DEFB128","predicted secreted protein","HPA"
"DEFB129","predicted secreted protein","HPA"
"DEFB130A","predicted secreted protein","HPA"
"DEFB130B","predicted secreted protein","HPA"
"DEFB131A","predicted secreted protein","HPA"
"DEFB131B","predicted secreted protein","HPA"
"DEFB132","predicted secreted protein","HPA"
"DEFB133","predicted secreted protein","HPA"
"DEFB134","predicted secreted protein","HPA"
"DEFB135","predicted secreted protein","HPA"
"DEFB135","predicted secreted protein","VerSeDa"
"DEFB136","predicted secreted protein","HPA"
"DEFB136","predicted secreted protein","VerSeDa"
"DEFB4A","predicted secreted protein","HPA"
"DEFB4A","cytokin/chemokine_&_receptors","GSEA"
"DEFB4B","predicted secreted protein","HPA"
"DHH","predicted secreted protein","HPA"
"DHH","predicted secreted protein","VerSeDa"
"DHH","secreted protein","NABA"
"DHRS11","predicted secreted protein","HPA"
"DHRS13","predicted secreted protein","HPA"
"DHRS4L2","predicted secreted protein","HPA"
"DHRS7C","predicted secreted protein","HPA"
"DHRSX","predicted secreted protein","HPA"
"DIPK2A","predicted secreted protein","HPA"
"DIPK2A","predicted secreted protein","VerSeDa"
"DIPK2B","predicted secreted protein","HPA"
"DIPK2B","predicted secreted protein","VerSeDa"
"DKK1","growth_factors_&_receptors","Online resource"
"DKK1","predicted secreted protein","HPA"
"DKK1","predicted secreted protein","VerSeDa"
"DKK1","growth_factors_&_receptors","GOMF"
"DKK1","cytokin/chemokine_&_receptors","GSEA"
"DKK2","predicted secreted protein","HPA"
"DKK2","predicted secreted protein","VerSeDa"
"DKK3","predicted secreted protein","HPA"
"DKK4","predicted secreted protein","HPA"
"DKKL1","predicted secreted protein","HPA"
"DKKL1","predicted secreted protein","VerSeDa"
"DMBT1","predicted secreted protein","HPA"
"DMKN","predicted secreted protein","HPA"
"DMKN","predicted secreted protein","VerSeDa"
"DMP1","predicted secreted protein","HPA"
"DMP1","predicted secreted protein","VerSeDa"
"DNASE1","predicted secreted protein","HPA"
"DNASE1","predicted secreted protein","VerSeDa"
"DNASE1L2","predicted secreted protein","HPA"
"DNASE1L3","predicted secreted protein","HPA"
"DOCK2","cytokin/chemokine_&_receptors","WP"
"DPP4","predicted secreted protein","HPA"
"DPP7","predicted secreted protein","HPA"
"DPT","predicted secreted protein","HPA"
"DPT","predicted secreted protein","VerSeDa"
"DRAXIN","predicted secreted protein","HPA"
"DRAXIN","predicted secreted protein","VerSeDa"
"DSPP","predicted secreted protein","HPA"
"EBI3","cytokin/chemokine_&_receptors","Online resource"
"EBI3","hormones_&_receptors","Online resource"
"EBI3","predicted secreted protein","HPA"
"EBI3","predicted secreted protein","VerSeDa"
"EBI3","secreted protein","NABA"
"EBI3","cytokin/chemokine_&_receptors","GSEA"
"ECE1","hormones_&_receptors","Online resource"
"ECM1","growth_factors_&_receptors","Online resource"
"ECM1","predicted secreted protein","HPA"
"ECM1","growth_factors_&_receptors","GOMF"
"ECM2","predicted secreted protein","HPA"
"ECM2","predicted secreted protein","VerSeDa"
"ECRG4","hormones_&_receptors","Online resource"
"ECRG4","predicted secreted protein","HPA"
"ECRG4","predicted secreted protein","VerSeDa"
"EDA","cytokin/chemokine_&_receptors","Online resource"
"EDA","cytokin/chemokine_&_receptors","KEGG"
"EDA","secreted protein","NABA"
"EDA2R","cytokin/chemokine_&_receptors","Online resource"
"EDA2R","cytokin/chemokine_&_receptors","KEGG"
"EDAR","cytokin/chemokine_&_receptors","Online resource"
"EDAR","cytokin/chemokine_&_receptors","KEGG"
"EDDM13","predicted secreted protein","HPA"
"EDDM3A","predicted secreted protein","HPA"
"EDDM3A","predicted secreted protein","VerSeDa"
"EDDM3B","predicted secreted protein","HPA"
"EDIL3","predicted secreted protein","HPA"
"EDN1","hormones_&_receptors","Online resource"
"EDN1","predicted secreted protein","HPA"
"EDN1","cytokin/chemokine_&_receptors","GSEA"
"EDN2","hormones_&_receptors","Online resource"
"EDN2","predicted secreted protein","HPA"
"EDN2","cytokin/chemokine_&_receptors","GSEA"
"EDN3","hormones_&_receptors","Online resource"
"EDN3","predicted secreted protein","HPA"
"EDN3","predicted secreted protein","VerSeDa"
"EDN3","cytokin/chemokine_&_receptors","GSEA"
"EDNRB","hormones_&_receptors","Online resource"
"EFEMP1","growth_factors_&_receptors","Online resource"
"EFEMP1","predicted secreted protein","HPA"
"EFEMP1","predicted secreted protein","VerSeDa"
"EFEMP1","growth_factors_&_receptors","GOMF"
"EFEMP2","predicted secreted protein","HPA"
"EFEMP2","predicted secreted protein","VerSeDa"
"EFNA1","predicted secreted protein","HPA"
"EFNA1","predicted secreted protein","VerSeDa"
"EFNA4","predicted secreted protein","VerSeDa"
"EGF","growth_factors_&_receptors","Online resource"
"EGF","growth_factors_&_receptors","GOMF"
"EGF","cytokin/chemokine_&_receptors","KEGG"
"EGF","secreted protein","NABA"
"EGF","cytokin/chemokine_&_receptors","GSEA"
"EGFL6","predicted secreted protein","HPA"
"EGFL6","predicted secreted protein","VerSeDa"
"EGFL6","secreted protein","NABA"
"EGFL7","predicted secreted protein","HPA"
"EGFL7","secreted protein","NABA"
"EGFL8","predicted secreted protein","HPA"
"EGFL8","secreted protein","NABA"
"EGFLAM","predicted secreted protein","HPA"
"EGFR","growth_factors_&_receptors","Online resource"
"EGFR","hormones_&_receptors","Online resource"
"EGFR","growth_factors_&_receptors","GOMF"
"EGFR","cytokin/chemokine_&_receptors","KEGG"
"ELANE","predicted secreted protein","HPA"
"ELMO1","cytokin/chemokine_&_receptors","WP"
"ELN","predicted secreted protein","HPA"
"ELSPBP1","predicted secreted protein","HPA"
"EMC10","predicted secreted protein","VerSeDa"
"EMCN","predicted secreted protein","VerSeDa"
"EMID1","predicted secreted protein","HPA"
"EMID1","predicted secreted protein","VerSeDa"
"EMILIN1","predicted secreted protein","HPA"
"EMILIN2","predicted secreted protein","HPA"
"EMILIN3","predicted secreted protein","HPA"
"ENAM","predicted secreted protein","HPA"
"ENDOU","growth_factors_&_receptors","Online resource"
"ENDOU","predicted secreted protein","HPA"
"ENDOU","growth_factors_&_receptors","GOMF"
"ENDOU","cytokin/chemokine_&_receptors","GSEA"
"ENG","growth_factors_&_receptors","Online resource"
"ENG","growth_factors_&_receptors","GOMF"
"ENHO","hormones_&_receptors","Online resource"
"ENHO","predicted secreted protein","HPA"
"ENPP3","predicted secreted protein","HPA"
"ENTPD5","predicted secreted protein","HPA"
"EPDR1","predicted secreted protein","HPA"
"EPDR1","predicted secreted protein","VerSeDa"
"EPGN","growth_factors_&_receptors","Online resource"
"EPGN","predicted secreted protein","VerSeDa"
"EPGN","growth_factors_&_receptors","GOMF"
"EPGN","secreted protein","NABA"
"EPGN","cytokin/chemokine_&_receptors","GSEA"
"EPHA2","growth_factors_&_receptors","Online resource"
"EPHA2","growth_factors_&_receptors","GOMF"
"EPHA7","growth_factors_&_receptors","Online resource"
"EPHA7","growth_factors_&_receptors","GOMF"
"EPHA8","growth_factors_&_receptors","Online resource"
"EPHA8","growth_factors_&_receptors","GOMF"
"EPO","cytokin/chemokine_&_receptors","Online resource"
"EPO","hormones_&_receptors","Online resource"
"EPO","predicted secreted protein","HPA"
"EPO","predicted secreted protein","VerSeDa"
"EPO","cytokin/chemokine_&_receptors","KEGG"
"EPO","secreted protein","NABA"
"EPO","cytokin/chemokine_&_receptors","GSEA"
"EPOR","cytokin/chemokine_&_receptors","Online resource"
"EPOR","cytokin/chemokine_&_receptors","KEGG"
"EPPIN","predicted secreted protein","HPA"
"EPPIN-WFDC6","predicted secreted protein","HPA"
"EPYC","predicted secreted protein","HPA"
"EPYC","predicted secreted protein","VerSeDa"
"ERAP1","growth_factors_&_receptors","Online resource"
"ERAP1","predicted secreted protein","HPA"
"ERAP1","growth_factors_&_receptors","GOMF"
"ERAP2","predicted secreted protein","HPA"
"ERBB2","growth_factors_&_receptors","Online resource"
"ERBB2","growth_factors_&_receptors","GOMF"
"ERBB3","growth_factors_&_receptors","Online resource"
"ERBB3","growth_factors_&_receptors","GOMF"
"ERBB4","growth_factors_&_receptors","Online resource"
"ERBB4","growth_factors_&_receptors","GOMF"
"EREG","growth_factors_&_receptors","Online resource"
"EREG","growth_factors_&_receptors","GOMF"
"EREG","secreted protein","NABA"
"EREG","cytokin/chemokine_&_receptors","GSEA"
"ERFE","hormones_&_receptors","Online resource"
"ERFE","predicted secreted protein","HPA"
"ERN1","growth_factors_&_receptors","Online resource"
"ERN1","growth_factors_&_receptors","GOMF"
"ERVH48-1","predicted secreted protein","HPA"
"ESM1","growth_factors_&_receptors","Online resource"
"ESM1","predicted secreted protein","HPA"
"ESM1","growth_factors_&_receptors","GOMF"
"ESM1","cytokin/chemokine_&_receptors","GSEA"
"EYS","predicted secreted protein","HPA"
"F10","predicted secreted protein","HPA"
"F11","predicted secreted protein","HPA"
"F12","predicted secreted protein","HPA"
"F12","predicted secreted protein","VerSeDa"
"F13A1","predicted secreted protein","HPA"
"F13B","predicted secreted protein","HPA"
"F2","growth_factors_&_receptors","Online resource"
"F2","predicted secreted protein","HPA"
"F2","growth_factors_&_receptors","GOMF"
"F5","predicted secreted protein","HPA"
"F7","predicted secreted protein","HPA"
"F7","predicted secreted protein","VerSeDa"
"F8","predicted secreted protein","HPA"
"F9","predicted secreted protein","HPA"
"FABP4","hormones_&_receptors","Online resource"
"FAM131A","predicted secreted protein","VerSeDa"
"FAM177A1","predicted secreted protein","HPA"
"FAM180A","predicted secreted protein","HPA"
"FAM180B","predicted secreted protein","HPA"
"FAM20A","predicted secreted protein","HPA"
"FAM20C","predicted secreted protein","HPA"
"FAM24A","predicted secreted protein","HPA"
"FAM3A","predicted secreted protein","VerSeDa"
"FAM3B","predicted secreted protein","VerSeDa"
"FAM3B","cytokin/chemokine_&_receptors","GSEA"
"FAM3C","predicted secreted protein","HPA"
"FAM3C","cytokin/chemokine_&_receptors","GSEA"
"FAM3D","cytokin/chemokine_&_receptors","GSEA"
"FAM83B","growth_factors_&_receptors","Online resource"
"FAM83B","growth_factors_&_receptors","GOMF"
"FAP","predicted secreted protein","HPA"
"FAS","cytokin/chemokine_&_receptors","Online resource"
"FAS","predicted secreted protein","VerSeDa"
"FAS","cytokin/chemokine_&_receptors","KEGG"
"FASLG","cytokin/chemokine_&_receptors","Online resource"
"FASLG","predicted secreted protein","VerSeDa"
"FASLG","cytokin/chemokine_&_receptors","KEGG"
"FASLG","secreted protein","NABA"
"FASLG","cytokin/chemokine_&_receptors","GSEA"
"FBLN1","predicted secreted protein","HPA"
"FBLN1","predicted secreted protein","VerSeDa"
"FBLN2","predicted secreted protein","HPA"
"FBLN2","predicted secreted protein","VerSeDa"
"FBLN5","predicted secreted protein","HPA"
"FBLN5","predicted secreted protein","VerSeDa"
"FBLN7","predicted secreted protein","HPA"
"FBLN7","predicted secreted protein","VerSeDa"
"FBN1","hormones_&_receptors","Online resource"
"FBN1","predicted secreted protein","HPA"
"FBN2","hormones_&_receptors","Online resource"
"FBN2","predicted secreted protein","HPA"
"FBN2","predicted secreted protein","VerSeDa"
"FBN3","predicted secreted protein","HPA"
"FBXW7-AS1","growth_factors_&_receptors","Online resource"
"FBXW7-AS1","growth_factors_&_receptors","GOMF"
"FCGBP","predicted secreted protein","HPA"
"FCGR3B","predicted secreted protein","VerSeDa"
"FCN1","predicted secreted protein","VerSeDa"
"FCN2","predicted secreted protein","HPA"
"FCN2","predicted secreted protein","VerSeDa"
"FCN3","predicted secreted protein","HPA"
"FCRLA","predicted secreted protein","VerSeDa"
"FDCSP","predicted secreted protein","HPA"
"FER","growth_factors_&_receptors","Online resource"
"FER","growth_factors_&_receptors","GOMF"
"FETUB","predicted secreted protein","HPA"
"FGA","predicted secreted protein","HPA"
"FGA","predicted secreted protein","VerSeDa"
"FGB","predicted secreted protein","HPA"
"FGB","predicted secreted protein","VerSeDa"
"FGF1","growth_factors_&_receptors","Online resource"
"FGF1","predicted secreted protein","HPA"
"FGF1","growth_factors_&_receptors","GOMF"
"FGF1","secreted protein","NABA"
"FGF1","cytokin/chemokine_&_receptors","GSEA"
"FGF10","growth_factors_&_receptors","Online resource"
"FGF10","predicted secreted protein","HPA"
"FGF10","growth_factors_&_receptors","GOMF"
"FGF10","secreted protein","NABA"
"FGF10","cytokin/chemokine_&_receptors","GSEA"
"FGF11","growth_factors_&_receptors","Online resource"
"FGF11","growth_factors_&_receptors","GOMF"
"FGF11","secreted protein","NABA"
"FGF11","cytokin/chemokine_&_receptors","GSEA"
"FGF12","growth_factors_&_receptors","Online resource"
"FGF12","growth_factors_&_receptors","GOMF"
"FGF12","secreted protein","NABA"
"FGF12","cytokin/chemokine_&_receptors","GSEA"
"FGF13","growth_factors_&_receptors","Online resource"
"FGF13","growth_factors_&_receptors","GOMF"
"FGF13","secreted protein","NABA"
"FGF13","cytokin/chemokine_&_receptors","GSEA"
"FGF14","growth_factors_&_receptors","Online resource"
"FGF14","growth_factors_&_receptors","GOMF"
"FGF14","secreted protein","NABA"
"FGF14","cytokin/chemokine_&_receptors","GSEA"
"FGF16","growth_factors_&_receptors","Online resource"
"FGF16","predicted secreted protein","HPA"
